"Source:","C:\Work\658-Computer\Kicad\Computer\Computer.kicad_sch"
"Date:","2022/02/01 19:53:45"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","24"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","CP1000uF","Device:CP","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm","","","","","","","","",""
"","","C2","CP1000uF","Device:CP","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm","","","","","","","","",""
"","","C3","100pF MLCC","Wurth_Elektronik:885012207027","CAPC2012X90N","https://katalog.we-online.com/pbs/datasheet/885012207027.pdf","","","Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 100pF X7R0805101K016DFCT10000","0.9","Wurth Elektronik","885012207027","710-885012207027","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/885012207027?qs=0KOYDY2FL28IWYVDh0DkrQ%3D%3D"
"","","C4","1000pF MLCC","Wurth_Elektronik:885012207033","CAPC2012X90N","https://katalog.we-online.com/pbs/datasheet/885012207033.pdf","","","Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 1000pF X7R0805102K016DFCT10000","0.9","Wurth Elektronik","885012207033","710-885012207033","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/885012207033?qs=0KOYDY2FL28ky2lrUPvQ%2Fw%3D%3D"
"","","C5","1000pF MLCC","Wurth_Elektronik:885012207033","CAPC2012X90N","https://katalog.we-online.com/pbs/datasheet/885012207033.pdf","","","Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 1000pF X7R0805102K016DFCT10000","0.9","Wurth Elektronik","885012207033","710-885012207033","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/885012207033?qs=0KOYDY2FL28ky2lrUPvQ%2Fw%3D%3D"
"","","C6","1000pF MLCC","Wurth_Elektronik:885012207033","CAPC2012X90N","https://katalog.we-online.com/pbs/datasheet/885012207033.pdf","","","Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 1000pF X7R0805102K016DFCT10000","0.9","Wurth Elektronik","885012207033","710-885012207033","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/885012207033?qs=0KOYDY2FL28ky2lrUPvQ%2Fw%3D%3D"
"","","C7","1000pF MLCC","Wurth_Elektronik:885012207033","CAPC2012X90N","https://katalog.we-online.com/pbs/datasheet/885012207033.pdf","","","Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 1000pF X7R0805102K016DFCT10000","0.9","Wurth Elektronik","885012207033","710-885012207033","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/885012207033?qs=0KOYDY2FL28ky2lrUPvQ%2Fw%3D%3D"
"","","C8","1000pF MLCC","Wurth_Elektronik:885012207033","CAPC2012X90N","https://katalog.we-online.com/pbs/datasheet/885012207033.pdf","","","Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 1000pF X7R0805102K016DFCT10000","0.9","Wurth Elektronik","885012207033","710-885012207033","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/885012207033?qs=0KOYDY2FL28ky2lrUPvQ%2Fw%3D%3D"
"","","C9","1000pF MLCC","Wurth_Elektronik:885012207033","CAPC2012X90N","https://katalog.we-online.com/pbs/datasheet/885012207033.pdf","","","Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 1000pF X7R0805102K016DFCT10000","0.9","Wurth Elektronik","885012207033","710-885012207033","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/885012207033?qs=0KOYDY2FL28ky2lrUPvQ%2Fw%3D%3D"
"","","C10","1000pF MLCC","Wurth_Elektronik:885012207033","CAPC2012X90N","https://katalog.we-online.com/pbs/datasheet/885012207033.pdf","","","Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 1000pF X7R0805102K016DFCT10000","0.9","Wurth Elektronik","885012207033","710-885012207033","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/885012207033?qs=0KOYDY2FL28ky2lrUPvQ%2Fw%3D%3D"
"","","C11","1000pF MLCC","Wurth_Elektronik:885012207033","CAPC2012X90N","https://katalog.we-online.com/pbs/datasheet/885012207033.pdf","","","Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 1000pF X7R0805102K016DFCT10000","0.9","Wurth Elektronik","885012207033","710-885012207033","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/885012207033?qs=0KOYDY2FL28ky2lrUPvQ%2Fw%3D%3D"
"","","C12","100pF MLCC","Wurth_Elektronik:885012207027","CAPC2012X90N","https://katalog.we-online.com/pbs/datasheet/885012207027.pdf","","","Multilayer Ceramic Chip Capacitor WCAP-CSGP Series 0805 100pF X7R0805101K016DFCT10000","0.9","Wurth Elektronik","885012207027","710-885012207027","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/885012207027?qs=0KOYDY2FL28IWYVDh0DkrQ%3D%3D"
"","","IC1","DS1813R","Maxim:DS1813R-10+T&R","SOT95P237X112-3N","https://componentsearchengine.com/Datasheets/2/DS1813R-10+T&R.pdf","","","Maxim DS1813R-10+T&R, Voltage Supervisor 4.25  4.49 V, Reset Input, 3-Pin SOT-23","1.12","Maxim Integrated","DS1813R-10+T&R","700-DS1813R-10T&R","https://www.mouser.co.uk/ProductDetail/Maxim-Integrated/DS1813R-10%2bTR?qs=0Y9aZN%252BMVCUEX%2FgvPX%252B6Nw%3D%3D"
"","","IC2","LVC74","Nexperia:74LVC74APW,118","SOP65P640X110-14N","https://assets.nexperia.com/documents/data-sheet/74LVC74A.pdf","","","74LVC74A - Dual D-type flip-flop with set and reset; positive-edge trigger@en-us","1.1","Nexperia","74LVC74APW,118","771-74LVC74APW-T","https://www.mouser.co.uk/ProductDetail/Nexperia/74LVC74APW118?qs=me8TqzrmIYVtXwVfet0lzw%3D%3D"
"","","IC3","LVC2G04","Nexperia:74LVC2G04GW-Q100H","SOP65P210X110-6N","https://assets.nexperia.com/documents/data-sheet/74LVC2G04_Q100.pdf","74LVC2G04GW-Q100H","https://www.arrow.com/en/products/74lvc2g04gw-q100h/nexperia","74LVC2G04-Q100 - Dual inverter@en-us","1.1","Nexperia","74LVC2G04GW-Q100H","771-74LVC2G04GWQ100H","https://www.mouser.co.uk/ProductDetail/Nexperia/74LVC2G04GW-Q100H?qs=Yna0arPQ0CQTXbBDVSrZqQ%3D%3D"
"","","IC4","LVC595","Nexperia:74LVC595AD,112","SOIC127P600X175-16N","https://assets.nexperia.com/documents/data-sheet/74LVC595A.pdf","","","74LVC595A - 8-bit serial-in/serial-out or parallel-out shift register; 3-state@en-us","1.75","Nexperia","74LVC595AD,112","771-74LVC595AD","https://www.mouser.co.uk/ProductDetail/Nexperia/74LVC595AD112?qs=me8TqzrmIYV0b%2FEB25dYCQ%3D%3D"
